geneSymbol logFC P.Value adj.P.Val
Sec23ip 0.957469753952197 3.11103959091093e-09 1.05084974945798e-07
Naa40 0.858211667842407 3.1350206256292e-09 1.05598383818463e-07
Nnmt 2.17241429212948 3.26738652561654e-09 1.09745995046677e-07
Stk17b 1.66079699019911 3.27640850076981e-09 1.09745995046677e-07
Gnai2 1.01520151824201 3.31668272989826e-09 1.10786416186185e-07
Kpnb1 1.08764881279118 3.34452942417379e-09 1.11386438488927e-07
Il33 1.25696048955944 3.35317178652736e-09 1.11386438488927e-07
Nup50 0.856495900124036 3.38955240628419e-09 1.12284759464373e-07
Tapbpl 0.787195171631868 3.40544757533423e-09 1.1250139311372e-07
Hmgb2 2.49464341987722 3.45379740397117e-09 1.13786065158228e-07
Vbp1 1.31595274914125 3.49838382412323e-09 1.14898594904102e-07
Psen2 -1.18520859270373 3.50667645154308e-09 1.14898594904102e-07
Pafah1b2 0.915289863628618 3.55673340471253e-09 1.16195147391801e-07
Sf3b3 0.776727707952799 3.5655725062432e-09 1.16195147391801e-07
Clu 1.12232810444824 3.60967957621199e-09 1.17002485375932e-07
Abhd2 1.67505859546458 3.62861153994782e-09 1.17002485375932e-07
Nol9 0.794184558751655 3.63028131986003e-09 1.17002485375932e-07
Mapre1 0.867466207618753 3.64326867383996e-09 1.17002485375932e-07
Actg1 1.97111357081998 3.64670857586628e-09 1.17002485375932e-07
Scamp5 0.774177206050001 3.64872615517458e-09 1.17002485375932e-07
Pde12 1.03294572816347 3.67144836983672e-09 1.1719118256932e-07
Cenph 1.53049340594965 3.68247726054833e-09 1.1719118256932e-07
Uhrf2 1.04471422430767 3.69991245955082e-09 1.1719118256932e-07
Ncaph2 1.29204768125096 3.70260582876816e-09 1.1719118256932e-07
Slc13a3 1.85729915180981 3.70333882547538e-09 1.1719118256932e-07
Aaas 1.88844893966971 3.72063188571573e-09 1.17429392193521e-07
B4galt1 1.57386926652794 3.75800691065261e-09 1.18298515970151e-07
AI317395 -1.44787896385422 3.77141262031523e-09 1.1841053984149e-07
Nup93 1.46782120336159 3.8072138144565e-09 1.19123702589219e-07
